000568.SZ,000858.SZ,002007.SZ,002032.SZ,0388.HK,0700.HK,1093.HK,1169.HK,1177.HK,2269.HK,300015.SZ,600009.SH,600161.SH,600519.SH,600809.SH
65.78,80.58,28.1,40.71,250.2,417.8,16.4,22.2,13.8,44.1,30.42,44.4,30.03,703.85,56.34
66.4,80.9,28.9,41.1,249.2,422.2,17.2,22.15,13.9,44.45,30.25,44.05,30.04,715.86,56.67
68.75,82.99,28.99,41.35,254.6,431.8,17.6,22.5,14.14,48.0,29.67,44.1,30.09,737.07,58.91
68.05,82.68,28.6,41.11,253.2,433.2,17.46,22.45,13.8,50.4,31.5,44.15,29.76,738.36,58.45
68.45,82.2,28.47,40.59,262.0,438.6,17.76,23.45,14.1,49.25,33.63,43.03,29.44,752.13,57.36
70.3,86.1,28.66,40.63,269.0,443.8,18.0,24.25,14.9,50.65,33.4,43.76,30.06,782.52,59.16
70.93,88.9,28.79,39.87,271.8,440.4,17.98,24.8,14.6,53.15,33.9,43.8,29.92,785.71,59.1
70.14,87.96,28.52,39.63,268.4,429.4,18.68,25.05,14.56,51.4,33.89,43.44,30.0,774.81,58.91
71.02,91.37,28.0,39.97,274.8,442.2,18.46,25.05,15.38,53.35,34.11,43.94,29.6,788.42,59.3
72.78,91.75,27.67,41.58,272.4,433.2,17.74,25.6,14.86,55.0,33.45,45.65,29.63,785.37,61.31
73.37,90.82,27.38,42.45,288.4,444.2,18.12,26.15,14.84,54.45,35.45,45.96,29.15,772.94,63.5
70.07,86.01,27.61,41.78,295.6,449.0,17.76,26.3,14.8,52.2,35.26,45.38,28.73,747.93,61.47
70.15,86.4,27.42,43.0,297.6,447.8,17.44,27.0,14.08,50.75,35.97,45.0,28.5,750.74,65.16
67.89,85.17,27.44,42.06,294.8,452.4,17.78,26.5,14.86,51.05,35.1,44.61,28.34,750.18,65.42
70.9,90.42,27.32,45.0,301.0,460.0,18.22,27.6,15.52,52.75,35.0,44.91,29.22,773.64,65.42
70.52,89.71,27.3,46.6,303.4,474.6,18.32,28.05,15.58,52.75,35.59,47.02,28.88,773.78,65.42
68.75,87.35,27.24,46.26,301.4,469.0,18.14,27.05,15.46,52.7,36.33,47.09,29.26,764.46,65.42
68.61,86.0,27.2,45.39,293.0,458.0,17.66,28.6,15.28,51.75,35.79,46.67,29.1,769.16,65.42
68.99,86.84,27.48,45.83,297.4,471.2,17.16,28.15,15.22,53.9,35.3,46.88,29.34,777.22,65.42
65.8,82.08,27.65,43.76,292.2,471.6,16.78,26.8,14.94,56.8,34.9,45.68,29.52,736.32,65.42
65.09,81.4,27.74,42.5,288.0,461.8,16.96,26.75,14.86,53.25,34.77,46.13,29.6,742.08,65.42
65.31,84.38,27.02,43.6,296.4,463.6,17.36,26.8,14.42,53.85,34.98,46.89,28.65,764.54,65.42
63.01,82.98,26.59,43.87,290.8,460.0,17.06,26.8,14.24,53.25,34.6,47.68,27.57,757.73,65.42
63.4,82.28,26.12,44.15,289.0,452.4,17.3,26.8,14.84,54.35,34.51,48.78,26.98,740.4,65.42
59.48,77.87,25.4,44.2,286.2,441.0,16.8,26.65,14.4,51.35,33.6,48.6,26.1,718.23,58.88
59.24,76.44,25.37,42.0,266.8,410.0,15.86,25.7,13.26,48.2,31.5,47.99,24.44,708.86,52.99
