代码,简称,日期,开盘价(元),收盘价(元),涨跌幅(%),均价(元),总市值(元)
0700.HK,腾讯控股,2018/1/2,408,417.8,2.9064,415.7443,3968710000000
0700.HK,腾讯控股,2018/1/3,424,422.2,1.0531,423.0984,4010500000000
0700.HK,腾讯控股,2018/1/4,427,431.8,2.2738,428.8735,4101690000000
0700.HK,腾讯控股,2018/1/5,436.4,433.2,0.3242,431.6058,4114990000000
0700.HK,腾讯控股,2018/1/8,436.2,438.6,1.2465,436.6185,4166290000000
0700.HK,腾讯控股,2018/1/9,441,443.8,1.1856,443.2233,4215680000000
0700.HK,腾讯控股,2018/1/10,445.8,440.4,-0.7661,442.5238,4183380000000
0700.HK,腾讯控股,2018/1/11,436,429.4,-2.4977,432.2571,4078900000000
0700.HK,腾讯控股,2018/1/12,431.8,442.2,2.9809,436.5369,4200480000000
0700.HK,腾讯控股,2018/1/15,445.4,433.2,-2.0353,441.1403,4114990000000
0700.HK,腾讯控股,2018/1/16,436,444.2,2.5392,441.8415,4219480000000
0700.HK,腾讯控股,2018/1/17,443,449,1.0806,444.8066,4265080000000
0700.HK,腾讯控股,2018/1/18,452.6,447.8,-0.2673,449.6448,4253680000000
0700.HK,腾讯控股,2018/1/19,452.2,452.4,1.0272,450.7836,4297370000000
0700.HK,腾讯控股,2018/1/22,455,460,1.6799,456.5718,4369570000000
0700.HK,腾讯控股,2018/1/23,466.2,474.6,3.1739,468.9608,4508250000000
0700.HK,腾讯控股,2018/1/24,474,469,-1.1799,470.5125,4455060000000
0700.HK,腾讯控股,2018/1/25,466.2,458,-2.3454,462.3439,4350570000000
0700.HK,腾讯控股,2018/1/26,464.2,471.2,2.8821,468.4088,4475960000000
0700.HK,腾讯控股,2018/1/29,473.8,471.6,0.0849,471.3934,4479760000000
0700.HK,腾讯控股,2018/1/30,463.2,461.8,-2.078,464.3277,4386660000000
0700.HK,腾讯控股,2018/1/31,455.6,463.6,0.3898,461.9757,4403910000000
0700.HK,腾讯控股,2018/2/1,466,460,-0.7765,462.4801,4369710000000
0700.HK,腾讯控股,2018/2/2,459,452.4,-1.6522,455.4639,4297520000000
0700.HK,腾讯控股,2018/2/5,433.8,441,-2.5199,440.1483,4189220000000
0700.HK,腾讯控股,2018/2/6,423,410,-7.0295,417.6563,3894740000000
0700.HK,腾讯控股,2018/2/7,430,414.8,1.1707,423.7208,3940340000000
0700.HK,腾讯控股,2018/2/8,418.8,420.2,1.3018,419.7497,3991640000000
0700.HK,腾讯控股,2018/2/9,403,407.4,-3.0462,404.2094,3870050000000
0700.HK,腾讯控股,2018/2/12,412.8,409.6,0.54,415.7474,3890940000000
0700.HK,腾讯控股,2018/2/13,419.2,422.4,3.125,421.8082,4012540000000
0700.HK,腾讯控股,2018/2/14,428.6,433.6,2.6515,430.6511,4118930000000
0700.HK,腾讯控股,2018/2/22,444.4,446.4,2.952,451.3697,4240520000000
0700.HK,腾讯控股,2018/2/23,454,453.4,1.5681,452.6334,4307020000000
0700.HK,腾讯控股,2018/2/26,456,453,-0.0882,452.0765,4303220000000
0700.HK,腾讯控股,2018/2/27,458,446,-1.5453,449.4558,4236720000000
0700.HK,腾讯控股,2018/2/28,439,432.2,-3.0942,435.1265,4105630000000
0700.HK,腾讯控股,2018/3/1,430,447,3.4243,440.1354,4246220000000
0700.HK,腾讯控股,2018/3/2,437,436,-2.4609,438.0314,4141730000000
0700.HK,腾讯控股,2018/3/5,436,425,-2.5229,430.9084,4037230000000
0700.HK,腾讯控股,2018/3/6,435,438.6,3.2,437.7721,4166430000000
0700.HK,腾讯控股,2018/3/7,435.2,434.2,-1.0032,435.107,4124630000000
0700.HK,腾讯控股,2018/3/8,440,443,2.0267,441.9695,4208220000000
